time_s,acceleration
0.000,0.094337
0.010,0.143136
0.020,0.141704
0.030,0.125407
0.040,0.154101
0.050,0.184645
0.060,0.195827
0.070,0.148263
0.080,0.108587
0.090,0.068313
0.100,0.121001
0.110,0.119149
0.120,0.112673
0.130,0.079586
0.140,0.080609
0.150,0.130777
0.160,0.180030
0.170,0.179075
0.180,0.152040
0.190,0.132381
0.200,0.114320
0.210,0.113576
0.220,0.107632
0.230,0.030599
0.240,-0.055457
0.250,-0.083892
0.260,-0.083604
0.270,-0.092896
0.280,-0.122728
0.290,-0.141789
0.300,-0.135242
0.310,-0.104013
0.320,-0.054859
0.330,-0.018831
0.340,-0.023324
0.350,-0.038987
0.360,-0.007096
0.370,0.033722
0.380,0.029359
0.390,-0.009832
0.400,-0.040764
0.410,-0.052371
0.420,-0.018706
0.430,-0.016342
0.440,-0.010407
0.450,-0.023589
0.460,-0.015267
0.470,0.063478
0.480,0.138953
0.490,0.166789
0.500,0.192081
0.510,0.187598
0.520,0.211374
0.530,0.244205
0.540,0.253676
0.550,0.187833
0.560,0.147714
0.570,0.113720
0.580,0.088220
0.590,0.106600
0.600,0.068974
0.610,0.033367
0.620,0.001899
0.630,0.030701
0.640,0.073786
0.650,0.073828
0.660,0.066614
0.670,0.036420
0.680,0.046972
0.690,0.055828
0.700,0.064786
0.710,0.008962
0.720,-0.065205
0.730,-0.095889
0.740,-0.092343
0.750,-0.085634
0.760,-0.142709
0.770,-0.153432
0.780,-0.163743
0.790,-0.127135
0.800,-0.073138
0.810,-0.009405
0.820,-0.025049
0.830,0.002452
0.840,0.047882
0.850,0.073307
0.860,0.115549
0.870,0.088817
0.880,0.067602
0.890,0.065997
0.900,0.089128
0.910,0.070271
0.920,0.072334
0.930,0.057161
0.940,0.061034
0.950,0.089002
0.960,0.136019
0.970,0.181235
0.980,0.177709
0.990,0.170569
1.000,0.185529
1.010,0.231990
1.020,0.240152
1.030,0.196271
1.040,0.130524
1.050,0.074042
1.060,0.067189
1.070,0.070886
1.080,0.014811
1.090,-0.058460
1.100,-0.068355
1.110,-0.066671
1.120,-0.016333
1.130,-0.019967
1.140,-0.038794
1.150,-0.063240
1.160,-0.019586
1.170,0.030507
1.180,0.014612
1.190,-0.010139
1.200,-0.046919
1.210,-0.090290
1.220,-0.079902
1.230,-0.070665
1.240,-0.081845
1.250,-0.108053
1.260,-0.131429
1.270,-0.086712
1.280,-0.036803
1.290,0.018475
1.300,0.011106
1.310,0.032388
1.320,0.098155
1.330,0.148834
1.340,0.204547
1.350,0.200167
1.360,0.174996
1.370,0.150252
1.380,0.161234
1.390,0.159863
1.400,0.132151
1.410,0.084554
1.420,0.055590
1.430,0.061869
1.440,0.106404
1.450,0.133414
1.460,0.126976
1.470,0.105875
1.480,0.102807
1.490,0.156827
1.500,0.177152
1.510,0.156010
1.520,0.091406
1.530,0.032363
1.540,0.014812
1.550,0.029596
1.560,-0.024456
1.570,-0.079250
1.580,-0.124520
1.590,-0.154430
1.600,-0.110488
1.610,-0.087234
1.620,-0.090686
1.630,-0.096575
1.640,-0.072979
1.650,-0.017236
1.660,0.010152
1.670,0.024439
1.680,-0.009419
1.690,-0.016275
1.700,-0.007167
1.710,0.023993
1.720,0.016874
1.730,-0.024431
1.740,-0.047420
1.750,-0.027744
1.760,0.020153
1.770,0.066037
1.780,0.076053
1.790,0.092697
1.800,0.125751
1.810,0.195259
1.820,0.226554
1.830,0.252394
1.840,0.204699
1.850,0.179811
1.860,0.185812
1.870,0.184685
1.880,0.162530
1.890,0.090763
1.900,0.030406
1.910,0.019175
1.920,0.058761
1.930,0.055288
1.940,0.023451
1.950,0.010275
1.960,0.000486
1.970,0.071296
1.980,0.067809
1.990,0.075297
2.000,0.031013
2.010,-0.025756
2.020,-0.015640
2.030,-0.009161
2.040,-0.043919
2.050,-0.105668
2.060,-0.149450
2.070,-0.163266
2.080,-0.130948
2.090,-0.108336
2.100,-0.098601
2.110,-0.115220
2.120,-0.065527
2.130,-0.010654
2.140,0.047874
2.150,0.086616
2.160,0.090545
2.170,0.079328
2.180,0.087997
2.190,0.128938
2.200,0.114333
2.210,0.078765
2.220,0.044077
2.230,0.022095
2.240,0.082145
2.250,0.098680
2.260,0.101515
2.270,0.084919
2.280,0.104533
2.290,0.163785
2.300,0.230882
2.310,0.246793
2.320,0.200148
2.330,0.182887
2.340,0.165800
2.350,0.150496
2.360,0.139597
2.370,0.072876
2.380,-0.006361
2.390,-0.031507
2.400,-0.026194
2.410,-0.040403
2.420,-0.072423
2.430,-0.091605
2.440,-0.090712
2.450,-0.051603
2.460,0.005944
2.470,0.022203
2.480,-0.023301
2.490,-0.031686
2.500,-0.019724
2.510,-0.002593
2.520,-0.008429
2.530,-0.068700
2.540,-0.104478
2.550,-0.100363
2.560,-0.084141
2.570,-0.069890
2.580,-0.054341
2.590,-0.051428
2.600,-0.032458
2.610,0.026520
2.620,0.120960
2.630,0.130926
2.640,0.150308
2.650,0.146895
2.660,0.162007
2.670,0.219843
2.680,0.212277
2.690,0.155138
2.700,0.121723
2.710,0.091738
2.720,0.090119
2.730,0.112316
2.740,0.102925
2.750,0.076217
2.760,0.069161
2.770,0.105418
2.780,0.153778
2.790,0.156899
2.800,0.144335
2.810,0.106773
2.820,0.106920
2.830,0.117690
2.840,0.080225
2.850,0.020058
2.860,-0.030475
2.870,-0.082768
2.880,-0.092850
2.890,-0.088428
2.900,-0.123103
2.910,-0.150305
2.920,-0.162723
2.930,-0.110429
