time_s,voltage_v
0.000,0.010018
0.010,0.014481
0.020,0.005888
0.030,-0.003359
0.040,0.003180
0.050,-0.004875
0.060,0.010902
0.070,0.030103
0.080,0.002617
0.090,0.000693
0.100,0.017348
0.110,0.015353
0.120,0.011581
0.130,-0.003957
0.140,0.009561
0.150,0.020430
0.160,-0.010163
0.170,0.003136
0.180,-0.018518
0.190,-0.009343
0.200,-0.017626
0.210,0.006474
0.220,-0.009012
0.230,0.014069
0.240,0.012351
0.250,0.007196
0.260,-0.027751
0.270,0.001920
0.280,0.009272
0.290,0.011700
0.300,-0.012952
0.310,0.002834
0.320,-0.004678
0.330,-0.002133
0.340,0.025913
0.350,-0.002113
0.360,0.009512
0.370,0.023266
0.380,0.001246
0.390,0.008324
0.400,0.011657
0.410,0.010957
0.420,-0.008376
0.430,0.011142
0.440,0.030382
0.450,-0.013207
0.460,0.022891
0.470,0.011790
0.480,0.000378
0.490,0.040006
0.500,0.021434
0.510,-0.007989
0.520,0.011118
0.530,0.018650
0.540,0.007168
0.550,0.020244
0.560,0.009002
0.570,0.020009
0.580,0.031578
0.590,-0.000135
0.600,0.013047
0.610,0.003050
0.620,0.011909
0.630,-0.007808
0.640,0.001310
0.650,0.007057
0.660,0.023481
0.670,0.027178
0.680,-0.009853
0.690,-0.001920
0.700,0.019704
0.710,-0.019886
0.720,0.003052
0.730,0.008541
0.740,0.028855
0.750,0.020341
0.760,0.005092
0.770,0.004471
0.780,0.006247
0.790,0.032853
0.800,0.003580
0.810,0.005445
0.820,0.015289
0.830,0.008188
0.840,0.007041
0.850,-0.006711
0.860,0.009827
0.870,0.003346
0.880,0.027492
0.890,0.019796
0.900,0.009638
0.910,0.020026
0.920,0.004902
0.930,0.025782
0.940,0.009919
0.950,0.018751
0.960,-0.009363
0.970,0.015200
0.980,-0.015323
0.990,-0.020530
1.000,0.005433
1.010,-0.003499
1.020,0.012461
1.030,0.043671
1.040,-0.002476
1.050,0.000641
1.060,0.013081
1.070,0.017395
1.080,0.007354
1.090,0.006911
1.100,0.020537
1.110,0.017799
1.120,-0.005505
1.130,0.008812
1.140,0.010529
1.150,-0.005817
1.160,0.013898
1.170,-0.002869
1.180,0.024581
1.190,0.012891
1.200,0.011340
1.210,0.001135
1.220,0.008221
1.230,-0.019966
1.240,-0.006971
1.250,0.015443
1.260,-0.021929
1.270,0.022699
1.280,-0.016191
1.290,0.021351
1.300,-0.002682
1.310,0.021685
1.320,0.011964
1.330,-0.013053
1.340,0.028737
1.350,0.031626
1.360,0.009013
1.370,0.005891
1.380,0.007602
1.390,-0.004627
1.400,0.026479
1.410,0.001857
1.420,0.009232
1.430,-0.001899
1.440,0.000609
1.450,-0.009166
1.460,0.028856
1.470,0.007689
1.480,0.024489
1.490,0.010200
1.500,-0.000416
1.510,0.005100
1.520,0.001597
1.530,0.010119
1.540,0.004371
1.550,0.005501
1.560,-0.010679
1.570,-0.002103
1.580,0.034811
1.590,-0.000068
1.600,-0.005811
1.610,0.015060
1.620,0.031109
1.630,-0.011810
1.640,0.006872
1.650,0.000519
1.660,-0.016415
1.670,0.021024
1.680,0.009648
1.690,0.011072
1.700,-0.001285
1.710,0.016822
1.720,0.001911
1.730,0.007856
1.740,-0.006624
1.750,-0.008242
1.760,0.030033
1.770,0.002393
1.780,0.014375
1.790,0.009493
1.800,0.003383
1.810,0.002381
1.820,0.019451
1.830,0.005472
1.840,0.007728
1.850,0.010333
1.860,0.027648
1.870,0.020208
1.880,0.015739
1.890,0.001546
1.900,-0.010730
1.910,0.024243
1.920,0.024497
1.930,0.007889
1.940,0.018128
1.950,0.021722
1.960,0.022468
1.970,0.023821
1.980,0.003166
1.990,0.032725
2.000,-0.008699
2.010,0.022926
2.020,0.017409
2.030,0.023104
2.040,0.038185
2.050,0.032267
2.060,-0.007178
2.070,-0.015330
2.080,0.022253
2.090,-0.005225
2.100,0.009814
2.110,0.022596
2.120,-0.014657
2.130,-0.021650
2.140,0.013889
2.150,0.010666
2.160,0.006313
2.170,0.010578
2.180,-0.002908
2.190,-0.012702
2.200,0.007500
2.210,-0.004576
2.220,-0.014652
2.230,0.017585
2.240,0.009079
2.250,0.016098
2.260,-0.004839
2.270,0.000129
2.280,-0.004986
2.290,-0.003300
2.300,0.012931
2.310,-0.001745
2.320,0.015341
2.330,0.015096
2.340,0.040377
2.350,-0.010892
2.360,0.023319
2.370,0.008658
2.380,0.009790
2.390,-0.011748
2.400,0.003097
2.410,0.021148
2.420,0.008763
2.430,0.011216
2.440,0.005639
2.450,0.027319
2.460,0.009678
2.470,-0.023006
2.480,-0.000381
2.490,-0.019532
2.500,-0.038772
2.510,0.002048
2.520,0.030003
2.530,0.010707
2.540,-0.007588
2.550,-0.004110
2.560,0.026959
2.570,0.012364
2.580,0.010720
2.590,0.009198
2.600,0.010576
2.610,0.022081
2.620,0.018289
2.630,0.013236
2.640,-0.005643
2.650,0.017667
2.660,-0.000264
